h3_start,hour,trip_count
892a10012c7ffff,13,61
892a10012c7ffff,14,63
892a10012c7ffff,15,70
892a10012c7ffff,16,54
892a10012c7ffff,17,49
892a10012c7ffff,18,54
892a10012c7ffff,19,38
892a10012c7ffff,20,34
892a10012c7ffff,21,18
892a10012c7ffff,22,26
892a10012c7ffff,23,12
892a10012cfffff,0,15
892a10012cfffff,1,5
892a10012cfffff,2,6
892a10012cfffff,3,6
892a10012cfffff,4,1
892a10012cfffff,6,2
892a10012cfffff,7,6
892a10012cfffff,8,17
892a10012cfffff,9,27
892a10012cfffff,10,37
892a10012cfffff,11,50
892a10012cfffff,12,123
892a10012cfffff,13,35
892a10012cfffff,14,136
892a10012cfffff,15,116
892a10012cfffff,16,44
892a10012cfffff,17,41
892a10012cfffff,18,28
892a10012cfffff,19,16
892a10012cfffff,20,24
892a10012cfffff,21,21
892a10012cfffff,22,15
892a10012cfffff,23,9
892a10012d3ffff,0,1
892a10012d3ffff,7,1
892a10012d3ffff,8,1
892a10012d3ffff,10,1
892a10012d3ffff,11,4
892a10012d3ffff,12,3
892a10012d3ffff,13,1
892a10012d3ffff,14,5
892a10012d3ffff,15,3
892a10012d3ffff,16,1
892a10012d3ffff,18,2
892a10012d3ffff,19,2
892a10012d3ffff,21,1
892a10012d3ffff,22,2
892a10012d7ffff,0,5
892a10012d7ffff,1,3
892a10012d7ffff,2,2
892a10012d7ffff,3,3
892a10012d7ffff,4,4
892a10012d7ffff,5,2
892a10012d7ffff,6,8
892a10012d7ffff,7,20
892a10012d7ffff,8,22
892a10012d7ffff,9,22
892a10012d7ffff,10,25
892a10012d7ffff,11,28
892a10012d7ffff,12,26
892a10012d7ffff,13,44
892a10012d7ffff,14,78
892a10012d7ffff,15,113
892a10012d7ffff,16,82
892a10012d7ffff,17,61
892a10012d7ffff,18,71
892a10012d7ffff,19,39
892a10012d7ffff,20,43
892a10012d7ffff,21,25
892a10012d7ffff,22,30
892a10012d7ffff,23,28
892a10012dbffff,0,1
892a10012dbffff,4,1
892a10012dbffff,6,3
892a10012dbffff,7,1
892a10012dbffff,8,1
892a10012dbffff,9,1
892a10012dbffff,10,1
892a10012dbffff,11,3
892a10012dbffff,12,2
892a10012dbffff,13,1
892a10012dbffff,14,2
892a10012dbffff,15,4
892a10012dbffff,16,5
892a10012dbffff,17,1
892a10012dbffff,18,5
892a10012dbffff,20,1
892a10012dbffff,21,1
892a10012dbffff,23,1
892a1001343ffff,0,2
892a1001343ffff,2,1
892a1001343ffff,3,1
892a1001343ffff,4,1
892a1001343ffff,8,2
892a1001343ffff,9,4
892a1001343ffff,10,2
892a1001343ffff,11,2
892a1001343ffff,12,3
892a1001343ffff,13,6
892a1001343ffff,14,6
892a1001343ffff,15,5
892a1001343ffff,16,6
892a1001343ffff,17,2
892a1001343ffff,18,3
892a1001343ffff,19,2
892a1001343ffff,20,5
892a1001343ffff,21,3
892a1001343ffff,22,3
892a1001343ffff,23,1
892a100134bffff,4,1
892a100134bffff,6,1
892a100134bffff,8,1
892a100134bffff,9,1
892a100134bffff,10,2
892a100134bffff,11,3
892a100134bffff,12,1
892a100134bffff,13,4
892a100134bffff,14,5
892a100134bffff,15,13
892a100134bffff,16,18
892a100134bffff,17,8
892a100134bffff,18,10
892a100134bffff,19,1
892a100134bffff,20,5
892a100134bffff,21,1
892a100134bffff,22,1
892a100134bffff,23,1
892a100134fffff,7,4
892a100134fffff,10,1
892a100134fffff,13,1
892a100134fffff,14,1
892a100134fffff,15,1
892a100134fffff,16,3
892a100134fffff,18,1
892a100134fffff,22,1
892a1001353ffff,10,1
892a1001353ffff,11,2
892a1001353ffff,12,2
892a1001353ffff,14,3
892a1001353ffff,15,4
892a1001353ffff,16,5
892a1001353ffff,17,1
892a1001353ffff,18,6
892a1001353ffff,20,1
892a1001353ffff,22,1
892a100135bffff,10,1
892a100135bffff,15,1
892a100135bffff,16,1
892a100135bffff,17,3
892a100136bffff,0,1
892a100136bffff,1,2
892a100136bffff,3,1
892a100136bffff,6,5
892a100136bffff,7,17
892a100136bffff,8,10
